,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_W460x158,284,475,23.9,15,10.1,20100,158,2.04,795000000,91600000,3340000,646000,3770000,991000,3110000,4.67E+12,0,W18x106
H_SC_W460x144,282,472,22.1,13.6,10.2,18400,144,2.03,728000000,83700000,3080000,592000,3460000,906000,2440000,4.24E+12,0,W18x97
H_SC_W460x128,282,467,19.6,12.2,10.1,16300,128,2.02,637000000,72800000,2720000,518000,3050000,793000,1710000,3.65E+12,0,W18x86
H_SC_W460x113,279,462,17.3,10.8,10.1,14400,113,2,554000000,63300000,2390000,452000,2670000,692000,1180000,3.14E+12,0,W18x76
H_SC_W460x106,194,470,20.6,12.6,10.1,13500,106,1.67,487000000,25100000,2080000,259000,2390000,405000,1450000,1.26E+12,0,W18x71
H_SC_W460x97,193,467,19.1,11.4,10.1,12300,97,1.67,445000000,22800000,1920000,236000,2180000,369000,1140000,1.14E+12,0,W18x65
H_SC_W460x89,192,462,17.7,10.5,10.2,11400,89,1.65,410000000,20900000,1770000,218000,2020000,338000,903000,1.03E+12,0,W18x60
H_SC_W460x82,191,460,16,9.91,10.2,10500,82,1.65,370000000,18700000,1610000,195000,1840000,303000,691000,9.21E+11,0,W18x55
H_SC_W460x74,191,457,14.5,9.02,10.2,9480,74,1.64,333000000,16700000,1460000,175000,1660000,272000,516000,8.16E+11,0,W18x50
H_SC_W460x68,154,460,15.4,9.14,10.3,8710,68,1.5,296000000,9370000,1290000,122000,1490000,192000,508000,4.62E+11,0,W18x46
H_SC_W460x60,153,455,13.3,8,10.2,7610,60,1.49,255000000,7950000,1120000,104000,1280000,164000,337000,3.87E+11,0,W18x40
H_SC_W460x52,152,450,10.8,7.62,10.2,6650,52,1.48,212000000,6370000,944000,83900,1090000,132000,211000,3.06E+11,0,W18x35
H_SC_W410x149,264,432,25,14.9,10.3,19000,149,1.87,620000000,77400000,2870000,585000,3240000,900000,3220000,3.20E+12,0,W16x100
H_SC_W410x132,264,427,22.2,13.3,10.3,16900,132,1.87,541000000,67800000,2540000,515000,2870000,788000,2270000,2.74E+12,0,W16x89
